OrderDate,StockDate,OrderNumber,ProductKey,CustomerKey,TerritoryKey,OrderLineItem,OrderQuantity
01-01-2015,9/21/2001,SO45080,332,14657,1,1,1
01-01-2015,12-05-2001,SO45079,312,29255,4,1,1
01-01-2015,10/29/2001,SO45082,350,11455,9,1,1
01-01-2015,11/16/2001,SO45081,338,26782,6,1,1
01-02-2015,12/15/2001,SO45083,312,14947,10,1,1
01-02-2015,10-12-2001,SO45084,310,29143,4,1,1
01-02-2015,12/18/2001,SO45086,314,18747,9,1,1
01-02-2015,10-09-2001,SO45085,312,18746,9,1,1
01-03-2015,10-03-2001,SO45093,312,18906,9,1,1
01-03-2015,9/29/2001,SO45090,310,29170,4,1,1
01-03-2015,12-11-2001,SO45088,345,11398,10,1,1
01-03-2015,10/24/2001,SO45092,313,18899,9,1,1
01-03-2015,12/16/2001,SO45089,351,25977,4,1,1
01-03-2015,10/26/2001,SO45091,314,18909,9,1,1
01-03-2015,09-11-2001,SO45087,350,11388,10,1,1
01-03-2015,09-11-2001,SO45094,310,22785,6,1,1
01-04-2015,10/30/2001,SO45096,312,12483,7,1,1
01-04-2015,10/30/2001,SO45097,313,29151,4,1,1
01-04-2015,9/15/2001,SO45098,310,29167,1,1,1
